"replication","weight","speed","surface_roughness"
1,0.025,50,515.694562502475
2,0.025,50,531.7720883165
3,0.025,50,510.333712624257
1,0.05,50,502.809212191934
2,0.05,50,518.328476742467
3,0.05,50,516.804036736866
1,0.075,50,507.1943459484
2,0.075,50,505.085573759681
3,0.075,50,511.944717049149
1,0.1,50,518.375647664313
2,0.1,50,505.527940366258
3,0.1,50,513.29898306526
1,0.125,50,483.432165840764
2,0.125,50,512.241268380087
3,0.125,50,495.220364584821
1,0.15,50,501.69111944728
2,0.15,50,503.015205288136
3,0.15,50,503.385350038939
1,0.175,50,508.233168293836
2,0.175,50,496.619926894868
3,0.175,50,503.710905359348
1,0.2,50,493.545003894782
2,0.2,50,492.41954973255
3,0.2,50,494.800554673902
1,0.225,50,500.332926270206
2,0.225,50,499.712706314283
3,0.225,50,505.152680888503
1,0.25,50,492.154235130478
2,0.25,50,479.041531455047
3,0.25,50,491.649779135508
1,0.275,50,498.015324194453
2,0.275,50,493.680351964574
3,0.275,50,484.992065001722
1,0.3,50,477.530069537733
2,0.3,50,481.803933102817
3,0.3,50,486.741053760178
1,0.325,50,478.838612197849
2,0.325,50,474.567469641177
3,0.325,50,485.59020052251
1,0.35,50,473.828734517187
2,0.35,50,472.993755380091
3,0.35,50,477.30826296742
1,0.375,50,489.641117470624
2,0.375,50,479.615477574486
3,0.375,50,469.86023224133
1,0.4,50,471.145903006889
2,0.4,50,457.08261191722
3,0.4,50,462.546512783445
1,0.425,50,467.43818197594
2,0.425,50,470.560188385259
3,0.425,50,462.831072907376
1,0.45,50,482.612394230041
2,0.45,50,475.967890905588
3,0.45,50,461.387417459395
1,0.475,50,459.289581242333
2,0.475,50,460.237318253723
3,0.475,50,461.325088060506
1,0.5,50,441.759816050511
2,0.5,50,460.140887890654
3,0.5,50,457.247790870617
